FUNCTION                                             CALLS        %  TIME  [uS / CALLS]
--------                                             -----  -------  ----  [----------]
maps:get/2                                              23     1.12    20  [      0.87]
maps:find/2                                              9     1.12    20  [      2.22]
ets:lookup/2                                            16     1.18    21  [      1.31]
erl_lint:bool_option/4                                  28     1.35    24  [      0.86]
erlang:list_to_atom/1                                   10     1.52    27  [      2.70]
erlang:demonitor/2                                       9     1.80    32  [      3.56]
erl_lint:'-bool_option/4-fun-0-'/4                      56     1.91    34  [      0.61]
elixir_tokenizer:tokenize_any_base_identifier/3         51     1.96    35  [      0.69]
erlang:get_stacktrace/0                                  1     1.96    35  [     35.00]
lists:keyfind/3                                         46     2.13    38  [      0.83]
'Elixir.IEx.Evaluator':loop/3                           11     2.41    43  [      3.91]
erlang:send/2                                           11     2.41    43  [      3.91]
lists:foldl/3                                          104     2.47    44  [      0.42]
elixir_tokenizer:tokenize/5                             17     2.47    44  [      2.59]
erlang:monitor/2                                         9     4.60    82  [      9.11]
---------------------------------------------------  -----  -------  ----  [----------]
Total:                                                1701  100.00%  1782  [      1.05]
